400 PA5-J-Unknown-Output.txt 6
 -135.8716  -63.2398  -63.5148   20.4138   62.1437   68.8642
   16.64    22.94    26.55        16.61    22.86    26.53     0.084
   -0.73    25.56    15.27        -0.75    25.58    15.26     0.038
   12.65    29.15    -2.08        12.65    29.20    -2.08     0.049
   18.84    24.54   -28.04        18.84    24.54   -28.04     0.001
  -26.05   -31.30   -22.67       -26.05   -31.29   -22.67     0.005
    5.97    24.50    -2.32         5.91    24.52    -2.35     0.073
   21.59     0.14    41.08        21.55     0.16    41.06     0.044
  -17.62   -29.29   -35.38       -17.63   -29.27   -35.37     0.019
   11.37    22.05   -13.93        11.33    22.05   -13.94     0.038
   -5.60     7.06    51.35        -5.62     7.05    51.35     0.018
  -28.31   -24.32    -9.70       -28.32   -24.35    -9.67     0.037
    6.27   -11.37    19.72         6.32   -11.61    19.74     0.245
   28.83    -9.50    -7.05        28.77    -9.44    -7.03     0.087
   -4.29    17.10     5.55        -4.25    17.05     5.57     0.068
  -28.98   -19.55    -8.19       -28.97   -19.55    -8.23     0.043
   10.91    15.50   -11.09        10.92    15.49   -11.09     0.011
   22.93   -16.33    -0.48        22.95   -16.45    -0.39     0.149
   17.64    -3.85    45.12        17.58    -3.79    45.13     0.085
  -17.75     3.17    -1.57       -17.79     3.20    -1.56     0.051
   -3.03    -8.70    49.62        -2.99    -8.62    49.61     0.091
   -1.69   -13.92     8.54        -1.69   -13.92     8.54     0.001
  -32.33   -28.73   -28.68       -32.36   -28.79   -28.69     0.068
   25.10    14.81    35.06        24.98    14.77    35.03     0.125
   18.26    23.47    23.45        18.24    23.34    23.42     0.139
  -12.11     7.56    23.06       -12.11     7.56    23.06     0.000
   32.64    -0.51    19.15        32.68    -0.52    19.20     0.067
   35.55    17.68     7.82        35.60    17.73     7.83     0.080
  -36.06    -1.03   -37.97       -36.06    -1.03   -37.97     0.002
   -9.45    13.02    45.28        -9.50    12.95    45.34     0.108
   -8.25    -3.95   -44.09        -8.26    -3.94   -44.12     0.028
    2.64   -12.22    20.16         2.63   -12.16    20.15     0.057
    4.41    21.31    51.98         4.41    21.32    51.98     0.016
  -35.82   -24.92   -16.46       -35.82   -24.92   -16.46     0.003
   20.47     0.54    45.93        20.55     0.51    45.95     0.081
  -14.63    10.23   -27.74       -14.55    10.37   -27.79     0.170
   29.37     9.29    25.18        29.36     9.29    25.18     0.007
   27.53    -7.23   -19.47        27.52    -7.17   -19.44     0.069
   -0.55     0.09   -24.86        -0.54     0.09   -24.88     0.027
   29.55    -1.74    21.90        29.60    -1.75    21.95     0.069
  -31.39   -28.92   -30.74       -31.43   -28.99   -30.76     0.078
   41.59     4.80     5.28        41.59     4.80     5.28     0.001
   29.90    23.27    10.67        29.83    23.13    10.63     0.166
  -22.06    10.91   -22.44       -22.10    10.97   -22.43     0.080
   33.58    14.48   -18.81        33.43    14.42   -18.74     0.175
   10.08    14.46   -10.48        10.08    14.46   -10.48     0.004
   24.41    26.25   -11.72        24.47    26.40   -11.73     0.164
   -9.35    16.05    16.35        -9.42    16.10    16.33     0.086
   -5.80    20.25    45.55        -5.65    20.04    45.48     0.264
   -5.23   -23.90   -34.48        -5.21   -23.92   -34.49     0.033
   12.48    17.69   -13.73        12.52    17.71   -13.70     0.053
   23.81    17.62    35.49        23.73    17.58    35.47     0.086
   22.37    16.93    40.25        22.45    16.98    40.25     0.097
  -24.29     6.05   -13.57       -24.30     6.07   -13.52     0.055
  -36.31     5.95   -24.63       -36.37     5.97   -24.65     0.063
   13.17    -7.90    35.34        13.14    -7.83    35.33     0.082
   -9.29    18.93    18.73        -9.24    18.88    18.75     0.068
    1.57   -16.63    -4.59         1.57   -16.69    -4.57     0.054
  -12.46   -23.71   -11.00       -12.53   -23.68   -11.05     0.088
    8.94    23.14    35.41         8.95    23.27    35.43     0.129
   -2.09   -20.35   -26.38        -1.97   -20.42   -26.38     0.138
   -6.03   -21.79   -15.48        -5.99   -21.84   -15.44     0.076
   -4.18    -5.05   -39.37        -4.25    -5.09   -39.38     0.081
  -21.11   -29.04   -35.79       -21.12   -29.05   -35.80     0.017
    1.49   -13.64    11.19         1.49   -13.66    11.20     0.024
   20.85     2.12    48.40        20.75     2.15    48.38     0.104
   -7.38    12.46    49.44        -7.31    12.48    49.43     0.069
    6.22     1.54   -20.96         6.23     1.56   -20.98     0.033
   -6.38    -6.48    30.78        -6.30    -6.46    30.76     0.082
   -5.39    -0.30    42.63        -5.25    -0.31    42.61     0.144
  -13.83   -18.74   -44.39       -13.82   -18.74   -44.40     0.008
   18.20    -5.44    34.29        18.22    -5.48    34.30     0.052
  -23.15   -10.30    -3.86       -23.14   -10.29    -3.87     0.019
   15.68    23.99    23.90        15.65    23.90    23.87     0.104
  -11.29    -5.70    16.73       -11.38    -5.77    16.77     0.120
   28.88     6.59    26.09        28.91     6.59    26.11     0.034
   14.56    22.57    32.55        14.56    22.59    32.55     0.027
   -2.39    11.61    55.24        -2.38    11.61    55.19     0.054
   19.97   -13.46   -15.15        19.95   -13.36   -15.09     0.111
  -24.33    11.11   -24.73       -24.32    11.13   -24.72     0.023
  -25.17    11.03   -22.05       -25.18    11.00   -22.06     0.038
  -31.72     5.45   -36.68       -31.71     5.45   -36.68     0.006
  -16.91    -8.80   -47.57       -16.90    -8.80   -47.60     0.025
  -26.60    10.57   -20.39       -26.60    10.64   -20.37     0.080
   17.47    28.10    -8.97        17.47    28.09    -8.97     0.019
    7.66     5.01    54.71         7.64     5.02    54.66     0.051
  -38.18     3.43   -18.74       -38.17     3.42   -18.74     0.013
    4.32   -10.22    39.34         4.30   -10.17    39.34     0.057
   13.44    -3.30    52.86        13.44    -3.31    52.81     0.046
    1.01   -15.17     2.07         1.01   -15.00     2.04     0.172
   17.42    26.78   -15.13        17.41    26.90   -15.16     0.118
   40.26    -0.72     8.50        40.21    -0.69     8.51     0.063
   33.17     6.67   -20.29        33.18     6.67   -20.29     0.003
   26.18    23.54    13.83        26.18    23.55    13.83     0.008
    8.65   -15.11   -15.41         8.67   -15.24   -15.47     0.146
   -2.87    -7.73    54.12        -2.93    -7.86    54.17     0.147
   26.12    -5.32    20.07        26.12    -5.33    20.07     0.005
  -22.61   -31.28   -30.86       -22.60   -31.16   -30.82     0.127
   18.96   -10.79    11.78        18.95   -10.75    11.76     0.042
  -11.80    -9.09     8.52       -11.87    -9.17     8.55     0.110
  -20.25    10.83   -33.51       -20.27    10.77   -33.48     0.068
  -30.10   -10.62   -45.95       -30.09   -10.61   -45.93     0.021
  -14.16     4.52     7.87       -14.09     4.48     7.86     0.081
   24.15   -13.83     2.62        24.14   -13.79     2.60     0.039
  -11.65    -5.69    15.88       -11.70    -5.71    15.90     0.050
   36.24     7.77    14.98        36.24     7.77    14.99     0.010
   20.38    19.06    44.07        20.44    19.11    44.08     0.080
  -31.84     0.59   -41.54       -31.83     0.58   -41.53     0.021
  -22.51     6.47   -13.40       -22.51     6.46   -13.43     0.024
  -15.90     6.23    -6.71       -15.96     6.29    -6.70     0.089
  -30.62     6.15   -14.11       -30.61     6.16   -14.18     0.066
   30.50    -3.85   -21.10        30.53    -3.87   -21.05     0.058
  -35.00    -1.35   -40.92       -34.96    -1.36   -40.90     0.045
  -17.66    10.52   -33.38       -17.63    10.59   -33.40     0.080
   37.38    12.21    12.62        37.40    12.22    12.64     0.038
   18.10   -18.59   -10.83        18.07   -18.75   -10.87     0.170
   -7.57    -2.48   -43.44        -7.58    -2.47   -43.46     0.024
   23.88     5.43    38.78        23.89     5.43    38.79     0.016
  -14.92     7.56   -10.35       -15.00     7.71   -10.33     0.176
  -40.45   -16.53   -17.34       -40.47   -16.53   -17.34     0.024
    5.76    -9.95    39.20         5.68    -9.71    39.20     0.255
   31.87    12.02   -22.96        32.01    12.01   -23.03     0.164
   32.21     2.86   -21.29        32.19     2.87   -21.27     0.036
  -24.58    -7.80    -5.06       -24.62    -7.79    -5.01     0.061
  -11.82    -3.43    17.38       -11.92    -3.44    17.41     0.105
   -5.94     1.09    36.11        -6.02     1.07    36.12     0.084
    4.88   -14.50   -19.92         4.88   -14.51   -19.92     0.005
   15.57    -9.74    18.84        15.56    -9.69    18.83     0.054
   34.80    18.76     7.37        34.85    18.79     7.38     0.054
   27.98     0.36   -29.30        27.98     0.36   -29.30     0.004
   38.67    12.77     3.23        38.66    12.77     3.23     0.004
  -29.43     8.27   -34.29       -29.43     8.27   -34.29     0.002
   25.26    12.32    36.41        25.17    12.31    36.39     0.096
   -5.32    -1.80    41.41        -5.54    -1.78    41.44     0.221
   -5.77    -8.84    30.96        -5.73    -8.83    30.96     0.041
    3.40   -16.44    -4.25         3.41   -16.48    -4.24     0.044
   23.40    22.47    22.24        23.39    22.44    22.23     0.035
  -16.31   -12.02   -47.81       -16.29   -12.03   -47.88     0.081
   -8.16    16.97    13.79        -8.17    16.97    13.78     0.013
  -30.08   -29.64   -19.23       -30.08   -29.63   -19.24     0.013
  -14.18   -24.86   -39.77       -14.18   -24.88   -39.79     0.035
  -19.52    -8.97    -1.72       -19.61    -9.01    -1.68     0.102
   -3.29     3.70    54.84        -3.36     3.69    54.90     0.098
   10.05   -15.78   -14.14        10.04   -15.74   -14.12     0.044
  -36.84     0.27   -33.97       -36.83     0.26   -33.97     0.012
  -13.56    -1.01    12.88       -13.62    -1.02    12.90     0.066
  -11.48     8.91   -29.19       -11.53     8.83   -29.19     0.096
  -34.91     4.98   -14.88       -34.88     4.94   -14.92     0.066
   -6.10    -2.49    35.21        -6.03    -2.49    35.21     0.070
   -6.77     8.72   -19.31        -6.78     8.76   -19.33     0.044
   14.22   -16.33   -13.27        14.22   -16.33   -13.27     0.000
   26.14     4.36    31.64        26.17     4.35    31.66     0.036
  -10.77    10.43     8.82       -10.77    10.43     8.82     0.004
   35.82    11.58   -14.43        35.69    11.56   -14.38     0.145
    5.34   -14.55     5.13         5.34   -14.63     5.13     0.077
   34.89    14.90    14.01        34.89    14.90    14.03     0.026
    9.58   -10.54    22.71         9.57   -10.53    22.71     0.019
   -9.97   -26.64   -15.16       -10.00   -26.61   -15.19     0.053
  -24.04   -31.97   -25.33       -24.04   -31.93   -25.33     0.043
   -1.15    -9.00   -32.21        -1.31    -9.04   -32.15     0.175
  -10.39    18.54    39.63       -10.44    18.59    39.65     0.067
   33.63    -7.54     7.72        33.58    -7.48     7.73     0.077
   26.92    24.93     2.31        26.97    25.02     2.32     0.107
   33.68    -6.33    -2.97        33.73    -6.40    -2.96     0.091
   -5.03    20.59    13.13        -5.02    20.58    13.14     0.016
   25.12     6.97    36.14        25.11     6.97    36.13     0.010
  -33.98   -24.89   -14.28       -33.99   -24.91   -14.27     0.026
    1.31   -16.95   -20.02         1.33   -16.96   -20.02     0.022
   -2.22    22.42    43.62        -2.20    22.33    43.59     0.100
  -18.20     9.78   -35.02       -18.20     9.78   -35.01     0.008
   -1.41   -14.22     5.67        -1.41   -14.19     5.67     0.035
   16.15    23.02    26.95        16.11    22.92    26.92     0.110
  -11.58   -28.95   -31.86       -11.61   -28.88   -31.84     0.077
    0.49   -13.73   -27.83         0.53   -13.73   -27.83     0.044
   28.42   -11.51     0.42        28.40   -11.49     0.43     0.018
  -36.96   -12.28    -9.66       -36.99   -12.28    -9.63     0.036
  -12.81   -14.25    -1.08       -12.83   -14.28    -1.04     0.055
   20.86     4.80    51.38        20.91     4.78    51.40     0.053
   21.22    -4.77    30.42        21.17    -4.70    30.40     0.091
    4.54   -11.53    21.88         4.54   -11.48    21.86     0.055
  -11.11   -13.64     0.53       -11.14   -13.71     0.56     0.089
   27.19    19.67   -24.58        27.20    19.67   -24.58     0.009
  -36.41   -11.36   -41.47       -36.42   -11.36   -41.48     0.006
   30.38     8.04    23.42        30.31     8.04    23.38     0.081
   23.43   -16.59    -7.13        23.34   -16.60    -7.11     0.089
   10.45   -11.90    13.80        10.45   -11.93    13.81     0.038
   28.39   -11.18     5.63        28.39   -11.16     5.62     0.017
   13.26   -17.67   -10.27        13.29   -17.60   -10.25     0.076
   41.44     4.93     5.57        41.52     4.94     5.58     0.089
   -9.94    14.87    15.77        -9.93    14.86    15.77     0.012
  -24.25   -11.36    -4.83       -24.24   -11.35    -4.86     0.034
   -6.99    22.47    24.10        -7.05    22.57    24.08     0.116
   26.57    -7.56   -19.78        26.53    -7.53   -19.77     0.045
  -18.94   -19.12   -45.52       -18.97   -19.07   -45.43     0.114
    4.41     0.43   -22.02         4.41     0.43   -22.02     0.008
    9.76   -16.55   -11.99         9.77   -16.48   -11.98     0.073
   13.50     0.73    52.01        13.50     0.73    52.02     0.016
   19.95    27.34   -13.36        19.94    27.17   -13.34     0.170
  -13.56   -30.19   -30.42       -13.54   -30.21   -30.42     0.029
   -7.10    12.67     0.08        -7.03    12.58     0.11     0.117
    2.43    23.68    38.23         2.43    23.57    38.22     0.112
  -23.74   -31.90   -25.93       -23.74   -31.95   -25.93     0.049
   -5.24     0.57    42.66        -5.17     0.56    42.65     0.066
  -40.63    -4.31   -19.78       -40.55    -4.31   -19.78     0.079
   38.84    12.30     2.55        38.87    12.31     2.54     0.031
   16.70    11.43    53.13        16.70    11.43    53.11     0.020
   12.94    20.80   -23.77        12.89    20.79   -23.76     0.045
   -8.25    15.03    49.28        -8.22    15.02    49.27     0.028
  -41.32   -11.63   -16.17       -41.31   -11.63   -16.17     0.009
    3.40    24.41    33.09         3.38    24.33    33.07     0.083
   23.88    25.42     7.45        23.87    25.34     7.42     0.084
  -24.69   -25.86   -39.87       -24.68   -25.91   -39.93     0.073
   -9.31    19.87    20.74        -9.40    19.94    20.69     0.124
   31.37    -5.78   -17.84        31.42    -5.86   -17.87     0.111
   -3.58    21.56    44.89        -3.55    21.50    44.87     0.071
   -9.04    20.50    21.39        -9.02    20.48    21.40     0.026
  -32.42     9.46   -26.34       -32.43     9.49   -26.34     0.036
  -36.15     6.64   -22.94       -36.13     6.62   -22.94     0.027
   17.44    11.15    53.19        17.44    11.16    53.16     0.026
   39.88     9.21     7.96        39.92     9.22     7.97     0.048
   17.45   -12.56     9.04        17.41   -12.48     8.99     0.103
  -37.33    -5.60   -10.09       -37.28    -5.62   -10.13     0.070
  -36.32   -26.40   -23.26       -36.31   -26.40   -23.26     0.011
   18.68    21.50    45.76        18.60    21.38    45.77     0.145
  -20.81   -30.52   -18.40       -20.82   -30.45   -18.42     0.079
  -31.84    -6.61    -7.72       -31.84    -6.61    -7.73     0.010
    5.63   -17.11   -10.59         5.63   -17.09   -10.59     0.019
   -9.98    11.43    42.31        -9.97    11.44    42.30     0.010
    2.93    18.58    54.11         2.93    18.57    54.07     0.034
   -5.52    13.23    54.01        -5.55    13.23    54.04     0.048
   19.51    25.83    11.60        19.50    25.80    11.60     0.025
    5.88   -16.32    -4.29         5.87   -16.27    -4.30     0.054
  -10.93    -6.79    16.17       -10.92    -6.79    16.17     0.015
   20.22    26.55   -18.02        20.21    26.50   -18.01     0.046
   -5.44    18.30    11.43        -5.54    18.39    11.40     0.139
  -18.62    10.66   -33.94       -18.62    10.65   -33.93     0.005
    2.31    -9.42    51.71         2.31    -9.46    51.72     0.044
  -31.37    -2.10   -42.97       -31.39    -2.07   -43.04     0.076
  -34.30   -22.09   -11.32       -34.29   -22.08   -11.34     0.023
   -8.12    16.16    48.20        -8.09    16.14    48.19     0.033
   23.47   -16.71    -6.15        23.53   -16.72    -6.16     0.065
   38.29    13.35     8.64        38.34    13.37     8.64     0.050
  -20.33     7.89   -39.25       -20.33     7.89   -39.25     0.006
   19.91     1.22    50.54        19.89     1.22    50.53     0.014
  -32.78     2.64   -12.85       -32.78     2.64   -12.86     0.008
   -2.67   -21.80   -28.40        -2.72   -21.79   -28.40     0.062
   13.72   -18.78    -5.64        13.75   -18.70    -5.63     0.085
    0.03    -8.93    54.20         0.03    -8.92    54.20     0.010
   34.06    19.80     3.41        34.04    19.78     3.41     0.026
   -3.30   -13.97     8.14        -3.30   -13.97     8.15     0.004
    7.69   -16.38    -6.52         7.69   -16.48    -6.51     0.107
   13.86    25.06   -16.39        13.90    25.01   -16.37     0.072
  -14.83    14.14    32.37       -14.64    14.13    32.34     0.183
  -20.79   -31.43   -25.60       -20.77   -31.51   -25.59     0.085
   -9.05   -20.54   -41.61        -9.06   -20.59   -41.60     0.048
  -26.86   -30.67   -20.11       -26.87   -30.72   -20.09     0.060
   17.25    -4.01    46.10        17.29    -4.06    46.11     0.060
   16.56    22.96    44.56        16.58    23.03    44.54     0.076
   21.10    24.26   -27.16        21.15    24.35   -27.21     0.115
    5.50   -10.53    27.63         5.49   -10.50    27.63     0.031
   31.94    -6.99    14.15        31.93    -6.98    14.14     0.013
   12.63   -13.46     8.17        12.63   -13.46     8.18     0.005
   11.34    -8.08   -20.72        11.35    -8.09   -20.77     0.054
   -3.09    -7.91   -38.94        -3.07    -7.90   -38.95     0.028
   -2.86   -12.31    20.03        -2.84   -12.20    20.02     0.112
  -20.65   -31.26   -30.92       -20.65   -31.19   -30.90     0.073
  -12.95    19.21    27.09       -13.04    19.27    27.08     0.108
  -12.90   -14.70    -1.47       -12.90   -14.68    -1.48     0.016
  -23.47    -1.90    -6.43       -23.42    -1.93    -6.49     0.082
  -19.01   -16.05   -46.71       -18.96   -16.05   -46.71     0.056
   -6.58    11.58    52.59        -6.81    11.61    52.61     0.237
   16.31    26.35   -15.76        16.27    26.45   -15.78     0.108
   -8.89   -18.77    -7.52        -8.88   -18.75    -7.56     0.043
  -38.23   -17.44   -34.04       -38.23   -17.45   -34.04     0.008
    4.74    23.42    39.09         4.73    23.37    39.08     0.049
   11.03     5.91   -17.09        11.06     5.81   -17.00     0.144
   -3.96     8.61   -20.06        -3.96     8.58   -20.05     0.026
   -4.86   -23.08   -19.95        -4.85   -23.08   -19.94     0.015
   34.07     0.44    18.16        34.05     0.44    18.14     0.028
   35.61     2.65    16.56        35.65     2.66    16.59     0.048
   25.95    24.47    10.14        25.95    24.43    10.13     0.040
   25.03   -13.57    -6.89        24.99   -13.54    -6.89     0.049
   30.29    -7.41    14.63        30.29    -7.42    14.64     0.009
  -38.40    -6.57   -35.20       -38.39    -6.57   -35.20     0.003
    4.36   -13.61    11.40         4.37   -13.65    11.41     0.046
   10.50    22.77    37.70        10.50    22.74    37.70     0.034
    5.66    25.30    25.24         5.67    25.38    25.25     0.082
   -9.92   -10.53     9.12        -9.97   -10.61     9.15     0.100
   32.92    20.64    11.36        32.88    20.61    11.33     0.063
  -22.73     7.43   -39.71       -22.73     7.44   -39.72     0.017
   -5.97    12.89    53.59        -6.04    12.90    53.67     0.105
   -2.91    19.86     9.17        -2.95    19.91     9.14     0.075
   -1.00   -18.52   -29.19        -1.01   -18.52   -29.19     0.006
   30.71    -4.50   -21.02        30.67    -4.48   -20.99     0.049
   -2.75     0.11   -26.53        -2.73     0.12   -26.55     0.029
   -0.45   -10.62    40.11        -0.44   -10.72    40.11     0.105
  -33.56     4.76   -14.35       -33.55     4.74   -14.38     0.037
  -38.02   -20.50   -31.73       -38.00   -20.49   -31.73     0.016
  -24.11     1.27    -9.67       -24.07     1.24    -9.72     0.068
   22.89    24.68   -24.18        22.89    24.69   -24.18     0.008
   16.75     7.29   -23.13        16.76     7.29   -23.13     0.004
   18.07     0.91    51.96        18.07     0.91    51.97     0.011
   16.00    25.48   -23.49        15.98    25.52   -23.49     0.044
    2.07    26.70    14.99         2.07    26.68    14.99     0.026
  -33.53   -27.18   -17.25       -33.50   -27.13   -17.28     0.070
   -6.28    -5.05    33.62        -6.19    -5.03    33.60     0.101
  -20.29    -1.35    -1.29       -20.15    -1.40    -1.33     0.154
   -9.07    17.46    17.04        -9.11    17.47    17.03     0.047
  -29.51   -28.77   -16.19       -29.53   -28.80   -16.18     0.038
   -7.42    18.56    14.42        -7.35    18.51    14.47     0.095
   -9.09    14.95    12.81        -9.07    14.94    12.81     0.026
   14.87   -13.81   -16.03        14.86   -13.75   -15.98     0.076
  -11.50     9.03   -16.01       -11.50     9.19   -16.03     0.164
   30.67    22.78     0.01        30.66    22.76     0.01     0.026
   -5.59     3.45    44.72        -5.41     3.48    44.72     0.179
   39.62     5.03    -5.77        39.59     5.02    -5.75     0.043
   -5.26    -5.07    44.26        -5.29    -5.07    44.27     0.025
  -14.40    16.86    29.44       -14.35    16.84    29.43     0.052
  -26.99    10.77   -28.35       -27.00    10.83   -28.36     0.061
  -19.58   -27.63   -38.25       -19.58   -27.65   -38.26     0.017
   12.91    22.18   -22.30        13.00    22.18   -22.31     0.086
    2.08   -10.71    39.65         2.08   -10.56    39.65     0.151
  -15.99     9.81   -32.90       -16.01     9.79   -32.90     0.028
  -37.54    -5.65   -10.49       -37.56    -5.64   -10.48     0.029
   -8.30   -14.76   -45.08        -8.30   -14.76   -45.08     0.001
   40.42     7.53     9.24        40.33     7.50     9.22     0.104
  -20.63    -7.22    -2.06       -20.68    -7.26    -2.00     0.091
   -5.35   -24.50   -32.82        -5.31   -24.53   -32.83     0.051
