150 PA5-A-Debug-Output.txt 6
   19.2771  102.3913   84.3195   38.2804  -85.9921  -29.7252
  -32.77     6.89   -22.26       -32.77     6.89   -22.26     0.000
  -22.94   -30.41   -40.87       -22.94   -30.41   -40.87     0.000
    2.32    14.93    -0.41         2.32    14.93    -0.41     0.000
  -20.12    -9.76    -4.68       -20.12    -9.76    -4.68     0.000
  -31.79   -27.41   -19.89       -31.79   -27.41   -19.89     0.000
   20.36    15.56    54.14        20.36    15.56    54.14     0.000
   21.16    -4.31    27.89        21.16    -4.31    27.89     0.000
  -33.73     3.95   -39.62       -33.73     3.95   -39.62     0.000
  -30.45   -24.50   -14.95       -30.45   -24.50   -14.95     0.000
  -29.61     6.39   -20.23       -29.61     6.39   -20.23     0.000
  -10.74    22.59    33.07       -10.74    22.59    33.07     0.000
   16.39    -5.72    63.83        16.39    -5.72    63.83     0.000
   -8.11     4.02    23.03        -8.11     4.02    23.03     0.000
    4.36   -10.73     9.92         4.36   -10.73     9.92     0.000
  -19.14   -18.49    -8.31       -19.14   -18.49    -8.31     0.000
  -22.26     9.08   -21.61       -22.26     9.08   -21.61     0.000
  -19.10     9.31   -38.74       -19.10     9.31   -38.74     0.000
   -4.02   -18.84   -10.83        -4.02   -18.84   -10.83     0.000
   18.88    24.41     6.08        18.88    24.41     6.08     0.000
  -37.62   -16.05   -16.18       -37.62   -16.05   -16.18     0.000
  -13.51   -28.55   -40.65       -13.51   -28.55   -40.65     0.000
    5.58   -12.74   -21.79         5.58   -12.74   -21.79     0.000
    4.21    23.59    11.54         4.21    23.59    11.54     0.000
  -14.39   -28.99   -40.51       -14.39   -28.99   -40.51     0.000
   26.56     6.21   -29.07        26.56     6.21   -29.07     0.000
   21.22    17.78   -22.12        21.22    17.78   -22.12     0.000
   25.27     2.23    55.79        25.27     2.23    55.79     0.000
    4.15     8.43    66.11         4.15     8.43    66.11     0.000
   -0.47    17.30    48.09        -0.47    17.30    48.09     0.000
  -33.32     7.10   -32.90       -33.32     7.10   -32.90     0.000
  -15.27    -5.38   -49.62       -15.27    -5.38   -49.62     0.000
   35.01    -1.71     9.07        35.01    -1.71     9.07     0.000
   10.06    -6.28    64.89        10.06    -6.28    64.89     0.000
   25.52     2.75    54.01        25.52     2.75    54.01     0.000
  -30.63    -2.19   -14.25       -30.63    -2.19   -14.25     0.000
   36.55     1.70     7.06        36.55     1.70     7.06     0.000
    2.67   -11.10     6.28         2.67   -11.10     6.28     0.000
   30.42     0.67    21.99        30.42     0.67    21.99     0.000
   -3.27     1.15   -24.54        -3.27     1.15   -24.54     0.000
   18.10    -1.92    67.54        18.10    -1.92    67.54     0.000
   -0.07    26.38    17.10        -0.07    26.38    17.10     0.000
  -26.06     9.34   -21.73       -26.06     9.34   -21.73     0.000
  -10.29   -22.74   -44.56       -10.29   -22.74   -44.56     0.000
   15.11     2.84   -21.17        15.11     2.84   -21.17     0.000
   28.31    18.67     3.25        28.31    18.67     3.25     0.000
  -27.36   -22.12   -47.69       -27.36   -22.12   -47.69     0.000
   32.91    -4.29     9.74        32.91    -4.29     9.74     0.000
  -23.10     9.03   -39.53       -23.10     9.03   -39.53     0.000
   -8.49   -22.02   -11.42        -8.49   -22.02   -11.42     0.000
  -30.14   -10.86   -49.63       -30.14   -10.86   -49.63     0.000
  -20.75   -24.81   -12.70       -20.75   -24.81   -12.70     0.000
   16.84    -4.20    22.79        16.84    -4.20    22.79     0.000
   25.74    -2.15    33.63        25.74    -2.15    33.63     0.000
   35.15     4.33    10.88        35.15     4.33    10.88     0.000
   32.42    12.67    -8.51        32.42    12.67    -8.51     0.000
   18.91    22.33   -16.94        18.91    22.33   -16.94     0.000
    8.86    19.36    61.99         8.86    19.36    61.99     0.000
  -25.85    -9.91   -51.73       -25.85    -9.91   -51.73     0.000
    8.74    10.68    -9.53         8.74    10.68    -9.53     0.000
   20.06    23.61     0.13        20.06    23.61     0.13     0.000
   -7.74    -2.13   -42.63        -7.74    -2.13   -42.63     0.000
   26.65     7.53    39.78        26.65     7.53    39.78     0.000
   17.03     1.08    68.14        17.03     1.08    68.14     0.000
  -13.47   -24.70   -14.56       -13.47   -24.70   -14.56     0.000
   19.83    22.71    19.61        19.83    22.71    19.61     0.000
   24.62     1.23    58.02        24.62     1.23    58.02     0.000
   22.31    -3.50    43.63        22.31    -3.50    43.63     0.000
   16.91    24.42    -0.03        16.91    24.42    -0.03     0.000
  -12.77     8.31   -36.19       -12.77     8.31   -36.19     0.000
   -8.32   -26.60   -20.85        -8.32   -26.60   -20.85     0.000
   -6.31     2.22    56.87        -6.31     2.22    56.87     0.000
   29.03    10.38    17.69        29.03    10.38    17.69     0.000
   -5.52   -23.85   -37.56        -5.52   -23.85   -37.56     0.000
  -37.72    -3.73   -41.89       -37.72    -3.73   -41.89     0.000
  -10.57   -13.90    -3.53       -10.57   -13.90    -3.53     0.000
  -19.36   -18.02    -8.37       -19.36   -18.02    -8.37     0.000
  -10.56    20.63    32.84       -10.56    20.63    32.84     0.000
  -41.33   -15.78   -21.52       -41.33   -15.78   -21.52     0.000
  -12.19    18.10    13.97       -12.19    18.10    13.97     0.000
  -40.37   -20.67   -37.17       -40.37   -20.67   -37.17     0.000
  -10.68   -16.63    -6.96       -10.68   -16.63    -6.96     0.000
  -45.25    -8.01   -38.08       -45.25    -8.01   -38.08     0.000
  -21.98     2.37   -46.79       -21.98     2.37   -46.79     0.000
   34.56    -1.76    10.54        34.56    -1.76    10.54     0.000
  -32.06   -29.80   -33.29       -32.06   -29.80   -33.29     0.000
   26.65    -2.38    29.09        26.65    -2.38    29.09     0.000
  -21.04    -0.98   -49.20       -21.04    -0.98   -49.20     0.000
  -22.85   -18.25   -50.34       -22.85   -18.25   -50.34     0.000
    3.35    -8.69    18.33         3.35    -8.69    18.33     0.000
    7.81    18.50    -9.48         7.81    18.50    -9.48     0.000
   11.92    23.02    36.29        11.92    23.02    36.29     0.000
   34.25    -3.32     5.78        34.25    -3.32     5.78     0.000
    1.12    18.48     5.72         1.12    18.48     5.72     0.000
   30.24     3.57    23.17        30.24     3.57    23.17     0.000
   29.79    10.35   -22.43        29.79    10.35   -22.43     0.000
   15.75    19.61    47.66        15.75    19.61    47.66     0.000
    8.41    19.92    51.87         8.41    19.92    51.87     0.000
   32.93    -5.89   -17.13        32.93    -5.89   -17.13     0.000
   30.70    10.03   -19.64        30.70    10.03   -19.64     0.000
    7.46    -2.13   -20.18         7.46    -2.13   -20.18     0.000
   34.79     3.41   -14.55        34.79     3.41   -14.55     0.000
   -8.91   -11.63     0.20        -8.91   -11.63     0.20     0.000
   16.22    17.14    61.04        16.22    17.14    61.04     0.000
   25.02    -4.81    17.62        25.02    -4.81    17.62     0.000
  -31.91    -7.53   -12.40       -31.91    -7.53   -12.40     0.000
  -34.07   -20.57   -44.52       -34.07   -20.57   -44.52     0.000
   32.72     4.40   -17.51        32.72     4.40   -17.51     0.000
