150 PA5-C-Debug-Answer.txt 6
  -76.9110  140.4969   90.7141  163.7973  -11.9790   30.7307
   -3.98    10.05    -4.15        -3.98    10.05    -4.15     0.000
   28.98    -4.28    25.58        28.98    -4.28    25.58     0.000
   27.80    -9.54    -1.72        27.80    -9.54    -1.72     0.000
   27.13   -11.19   -13.90        27.13   -11.19   -13.90     0.000
    6.85    11.41    -7.89         6.85    11.41    -7.89     0.000
  -17.81     6.53   -42.77       -17.81     6.53   -42.77     0.000
  -28.67     7.42   -22.47       -28.67     7.42   -22.47     0.000
   29.34    15.63     0.04        29.34    15.63     0.04     0.000
    3.12   -15.00   -21.99         3.12   -15.00   -21.99     0.000
    4.36    23.32    44.49         4.36    23.32    44.49     0.000
  -27.00    -4.65   -50.29       -27.00    -4.65   -50.29     0.000
   14.78   -13.63    -8.17        14.78   -13.63    -8.17     0.000
   21.52    21.55    19.46        21.52    21.55    19.46     0.000
  -25.05     5.44   -44.80       -25.05     5.44   -44.80     0.000
    8.94    -4.43    51.33         8.94    -4.43    51.33     0.000
   30.98     9.04    41.09        30.98     9.04    41.09     0.000
   24.44    20.61     7.35        24.44    20.61     7.35     0.000
  -24.69     7.52   -28.76       -24.69     7.52   -28.76     0.000
   -5.80   -17.53   -42.23        -5.80   -17.53   -42.23     0.000
   36.49     8.84    10.79        36.49     8.84    10.79     0.000
   -8.88     9.87    28.55        -8.88     9.87    28.55     0.000
   15.47    21.99     0.58        15.47    21.99     0.58     0.000
  -33.44   -15.32   -48.70       -33.44   -15.32   -48.70     0.000
   -6.48    11.55     4.01        -6.48    11.55     4.01     0.000
   30.02     1.14    49.51        30.02     1.14    49.51     0.000
    8.12    -4.70   -17.61         8.12    -4.70   -17.61     0.000
   14.24    -4.28    59.35        14.24    -4.28    59.35     0.000
  -29.95   -12.15   -14.86       -29.95   -12.15   -14.86     0.000
   20.87    19.87    38.20        20.87    19.87    38.20     0.000
  -37.34   -23.63   -34.16       -37.34   -23.63   -34.16     0.000
  -24.88     6.51   -20.12       -24.88     6.51   -20.12     0.000
   15.30    -5.87    13.83        15.30    -5.87    13.83     0.000
   14.50    24.78    38.98        14.50    24.78    38.98     0.000
  -33.97     2.54   -21.45       -33.97     2.54   -21.45     0.000
   -6.66    12.88    38.37        -6.66    12.88    38.37     0.000
  -33.21     1.75   -21.45       -33.21     1.75   -21.45     0.000
